      t            dt           Izz           Ixx          Izz-Ixx
0.000000e+00  1.000000e-05  2.468736e+06  2.467783e+06  9.531224e+02 
5.264103e-04  1.876255e-05  2.468736e+06  2.467782e+06  9.531223e+02 
1.089287e-03  1.876255e-05  2.468735e+06  2.467782e+06  9.531222e+02 
1.652163e-03  1.876255e-05  2.468735e+06  2.467782e+06  9.531221e+02 
2.215040e-03  1.876255e-05  2.468735e+06  2.467781e+06  9.531220e+02 
2.777916e-03  1.876255e-05  2.468734e+06  2.467781e+06  9.531219e+02 
3.340792e-03  1.876255e-05  2.468734e+06  2.467781e+06  9.531218e+02 
3.903669e-03  1.876255e-05  2.468734e+06  2.467781e+06  9.531216e+02 
4.466545e-03  1.876255e-05  2.468733e+06  2.467780e+06  9.531215e+02 
5.029422e-03  1.876255e-05  2.468733e+06  2.467780e+06  9.531214e+02 
5.592298e-03  1.876255e-05  2.468733e+06  2.467780e+06  9.531213e+02 
6.155175e-03  1.876255e-05  2.468732e+06  2.467779e+06  9.531212e+02 
6.718051e-03  1.876255e-05  2.468732e+06  2.467779e+06  9.531211e+02 
7.280927e-03  1.876255e-05  2.468732e+06  2.467779e+06  9.531210e+02 
7.843804e-03  1.876255e-05  2.468732e+06  2.467778e+06  9.531209e+02 
8.406680e-03  1.876255e-05  2.468731e+06  2.467778e+06  9.531208e+02 
8.969557e-03  1.876255e-05  2.468731e+06  2.467778e+06  9.531207e+02 
9.532433e-03  1.876255e-05  2.468731e+06  2.467778e+06  9.531206e+02 
1.009531e-02  1.876255e-05  2.468730e+06  2.467777e+06  9.531205e+02 
1.065819e-02  1.876255e-05  2.468730e+06  2.467777e+06  9.531204e+02 
1.122106e-02  1.876255e-05  2.468730e+06  2.467777e+06  9.531203e+02 
1.178394e-02  1.876255e-05  2.468729e+06  2.467776e+06  9.531202e+02 
1.234682e-02  1.876255e-05  2.468729e+06  2.467776e+06  9.531201e+02 
1.290969e-02  1.876255e-05  2.468729e+06  2.467776e+06  9.531200e+02 
1.347257e-02  1.876255e-05  2.468728e+06  2.467775e+06  9.531200e+02 
1.403544e-02  1.876255e-05  2.468728e+06  2.467775e+06  9.531199e+02 
1.459832e-02  1.876255e-05  2.468728e+06  2.467775e+06  9.531198e+02 
1.516120e-02  1.876255e-05  2.468728e+06  2.467774e+06  9.531197e+02 
1.572407e-02  1.876255e-05  2.468727e+06  2.467774e+06  9.531196e+02 
1.628695e-02  1.876255e-05  2.468727e+06  2.467774e+06  9.531195e+02 
1.684983e-02  1.876255e-05  2.468727e+06  2.467774e+06  9.531194e+02 
1.741270e-02  1.876255e-05  2.468726e+06  2.467773e+06  9.531194e+02 
1.797558e-02  1.876255e-05  2.468726e+06  2.467773e+06  9.531193e+02 
1.853846e-02  1.876255e-05  2.468726e+06  2.467773e+06  9.531192e+02 
1.910133e-02  1.876255e-05  2.468725e+06  2.467772e+06  9.531191e+02 
1.966421e-02  1.876255e-05  2.468725e+06  2.467772e+06  9.531190e+02 
2.022709e-02  1.876255e-05  2.468725e+06  2.467772e+06  9.531189e+02 
2.078996e-02  1.876255e-05  2.468724e+06  2.467771e+06  9.531189e+02 
2.135284e-02  1.876255e-05  2.468724e+06  2.467771e+06  9.531188e+02 
2.191571e-02  1.876255e-05  2.468724e+06  2.467771e+06  9.531187e+02 
2.247859e-02  1.876255e-05  2.468723e+06  2.467770e+06  9.531186e+02 
2.304147e-02  1.876255e-05  2.468723e+06  2.467770e+06  9.531186e+02 
2.360434e-02  1.876255e-05  2.468723e+06  2.467770e+06  9.531185e+02 
2.416722e-02  1.876255e-05  2.468723e+06  2.467769e+06  9.531184e+02 
2.473010e-02  1.876255e-05  2.468722e+06  2.467769e+06  9.531184e+02 
2.529297e-02  1.876255e-05  2.468722e+06  2.467769e+06  9.531183e+02 
2.585585e-02  1.876255e-05  2.468722e+06  2.467768e+06  9.531182e+02 
2.641873e-02  1.876255e-05  2.468721e+06  2.467768e+06  9.531182e+02 
2.698160e-02  1.876255e-05  2.468721e+06  2.467768e+06  9.531181e+02 
2.754448e-02  1.876255e-05  2.468721e+06  2.467767e+06  9.531180e+02 
2.810736e-02  1.876255e-05  2.468720e+06  2.467767e+06  9.531180e+02 
2.867023e-02  1.876255e-05  2.468720e+06  2.467767e+06  9.531179e+02 
2.923311e-02  1.876255e-05  2.468720e+06  2.467766e+06  9.531178e+02 
2.979598e-02  1.876255e-05  2.468719e+06  2.467766e+06  9.531178e+02 
3.035886e-02  1.876255e-05  2.468719e+06  2.467766e+06  9.531177e+02 
3.092174e-02  1.876255e-05  2.468719e+06  2.467766e+06  9.531176e+02 
3.148461e-02  1.876255e-05  2.468718e+06  2.467765e+06  9.531176e+02 
3.204749e-02  1.876255e-05  2.468718e+06  2.467765e+06  9.531175e+02 
3.261037e-02  1.876255e-05  2.468718e+06  2.467765e+06  9.531175e+02 
3.317324e-02  1.876255e-05  2.468717e+06  2.467764e+06  9.531174e+02 
3.373612e-02  1.876255e-05  2.468717e+06  2.467764e+06  9.531174e+02 
3.429900e-02  1.876255e-05  2.468717e+06  2.467764e+06  9.531173e+02 
3.486187e-02  1.876255e-05  2.468716e+06  2.467763e+06  9.531172e+02 
3.542475e-02  1.876255e-05  2.468716e+06  2.467763e+06  9.531172e+02 
3.598763e-02  1.876255e-05  2.468716e+06  2.467763e+06  9.531171e+02 
3.655050e-02  1.876255e-05  2.468715e+06  2.467762e+06  9.531171e+02 
3.711338e-02  1.876255e-05  2.468715e+06  2.467762e+06  9.531170e+02 
3.767625e-02  1.876255e-05  2.468715e+06  2.467762e+06  9.531170e+02 
3.823913e-02  1.876255e-05  2.468714e+06  2.467761e+06  9.531169e+02 
3.880201e-02  1.876255e-05  2.468714e+06  2.467761e+06  9.531169e+02 
3.936488e-02  1.876255e-05  2.468714e+06  2.467761e+06  9.531168e+02 
3.992776e-02  1.876255e-05  2.468713e+06  2.467760e+06  9.531168e+02 
4.049064e-02  1.876255e-05  2.468713e+06  2.467760e+06  9.531167e+02 
4.105351e-02  1.876255e-05  2.468713e+06  2.467760e+06  9.531167e+02 
4.161639e-02  1.876255e-05  2.468712e+06  2.467759e+06  9.531166e+02 
4.217927e-02  1.876255e-05  2.468712e+06  2.467759e+06  9.531166e+02 
4.274214e-02  1.876255e-05  2.468712e+06  2.467759e+06  9.531166e+02 
4.330502e-02  1.876255e-05  2.468711e+06  2.467758e+06  9.531165e+02 
4.386790e-02  1.876255e-05  2.468711e+06  2.467758e+06  9.531165e+02 
4.443077e-02  1.876255e-05  2.468711e+06  2.467758e+06  9.531164e+02 
4.499365e-02  1.876255e-05  2.468710e+06  2.467757e+06  9.531164e+02 
4.555652e-02  1.876255e-05  2.468710e+06  2.467757e+06  9.531163e+02 
4.611940e-02  1.876255e-05  2.468710e+06  2.467756e+06  9.531163e+02 
4.668228e-02  1.876255e-05  2.468709e+06  2.467756e+06  9.531163e+02 
4.724515e-02  1.876255e-05  2.468709e+06  2.467756e+06  9.531162e+02 
4.780803e-02  1.876255e-05  2.468709e+06  2.467755e+06  9.531162e+02 
4.837091e-02  1.876255e-05  2.468708e+06  2.467755e+06  9.531161e+02 
4.893378e-02  1.876255e-05  2.468708e+06  2.467755e+06  9.531161e+02 
4.949666e-02  1.876255e-05  2.468707e+06  2.467754e+06  9.531161e+02 
5.005954e-02  1.876255e-05  2.468707e+06  2.467754e+06  9.531160e+02 
5.062241e-02  1.876255e-05  2.468707e+06  2.467754e+06  9.531160e+02 
5.118529e-02  1.876255e-05  2.468706e+06  2.467753e+06  9.531159e+02 
5.174817e-02  1.876255e-05  2.468706e+06  2.467753e+06  9.531159e+02 
5.231104e-02  1.876255e-05  2.468706e+06  2.467753e+06  9.531159e+02 
5.287392e-02  1.876255e-05  2.468705e+06  2.467752e+06  9.531158e+02 
5.343679e-02  1.876255e-05  2.468705e+06  2.467752e+06  9.531158e+02 
5.399967e-02  1.876255e-05  2.468705e+06  2.467752e+06  9.531158e+02 
5.456255e-02  1.876255e-05  2.468704e+06  2.467751e+06  9.531157e+02 
5.512542e-02  1.876255e-05  2.468704e+06  2.467751e+06  9.531157e+02 
5.568830e-02  1.876255e-05  2.468704e+06  2.467750e+06  9.531157e+02 
5.625118e-02  1.876255e-05  2.468703e+06  2.467750e+06  9.531156e+02 
5.681405e-02  1.876255e-05  2.468703e+06  2.467750e+06  9.531156e+02 
5.737693e-02  1.876255e-05  2.468702e+06  2.467749e+06  9.531156e+02 
5.793981e-02  1.876255e-05  2.468702e+06  2.467749e+06  9.531155e+02 
5.850268e-02  1.876255e-05  2.468702e+06  2.467749e+06  9.531155e+02 
5.906556e-02  1.876255e-05  2.468701e+06  2.467748e+06  9.531155e+02 
5.962843e-02  1.876255e-05  2.468701e+06  2.467748e+06  9.531154e+02 
6.019131e-02  1.876255e-05  2.468701e+06  2.467748e+06  9.531154e+02 
6.075419e-02  1.876255e-05  2.468700e+06  2.467747e+06  9.531154e+02 
6.131706e-02  1.876255e-05  2.468700e+06  2.467747e+06  9.531153e+02 
6.187994e-02  1.876255e-05  2.468700e+06  2.467746e+06  9.531153e+02 
6.244282e-02  1.876255e-05  2.468699e+06  2.467746e+06  9.531153e+02 
6.300569e-02  1.876255e-05  2.468699e+06  2.467746e+06  9.531152e+02 
6.356857e-02  1.876255e-05  2.468698e+06  2.467745e+06  9.531152e+02 
6.413145e-02  1.876255e-05  2.468698e+06  2.467745e+06  9.531152e+02 
6.469432e-02  1.876255e-05  2.468698e+06  2.467745e+06  9.531151e+02 
6.525720e-02  1.876255e-05  2.468697e+06  2.467744e+06  9.531151e+02 
6.582008e-02  1.876255e-05  2.468697e+06  2.467744e+06  9.531151e+02 
6.638295e-02  1.876255e-05  2.468697e+06  2.467743e+06  9.531151e+02 
6.694583e-02  1.876255e-05  2.468696e+06  2.467743e+06  9.531150e+02 
6.750870e-02  1.876255e-05  2.468696e+06  2.467743e+06  9.531150e+02 
6.807158e-02  1.876255e-05  2.468695e+06  2.467742e+06  9.531150e+02 
6.863446e-02  1.876255e-05  2.468695e+06  2.467742e+06  9.531149e+02 
6.919733e-02  1.876255e-05  2.468695e+06  2.467741e+06  9.531149e+02 
6.976021e-02  1.876255e-05  2.468694e+06  2.467741e+06  9.531149e+02 
7.032309e-02  1.876255e-05  2.468694e+06  2.467741e+06  9.531148e+02 
7.088596e-02  1.876255e-05  2.468693e+06  2.467740e+06  9.531148e+02 
7.144884e-02  1.876255e-05  2.468693e+06  2.467740e+06  9.531148e+02 
7.201172e-02  1.876255e-05  2.468693e+06  2.467740e+06  9.531148e+02 
7.257459e-02  1.876255e-05  2.468692e+06  2.467739e+06  9.531147e+02 
7.313747e-02  1.876255e-05  2.468692e+06  2.467739e+06  9.531147e+02 
7.370035e-02  1.876255e-05  2.468691e+06  2.467738e+06  9.531147e+02 
7.426322e-02  1.876255e-05  2.468691e+06  2.467738e+06  9.531146e+02 
7.482610e-02  1.876255e-05  2.468691e+06  2.467738e+06  9.531146e+02 
7.538897e-02  1.876255e-05  2.468690e+06  2.467737e+06  9.531146e+02 
7.595185e-02  1.876255e-05  2.468690e+06  2.467737e+06  9.531145e+02 
7.651473e-02  1.876255e-05  2.468689e+06  2.467736e+06  9.531145e+02 
7.707760e-02  1.876255e-05  2.468689e+06  2.467736e+06  9.531145e+02 
