t,BPoloidal_v_avg
0.000,     2.928213243029766e+17
0.010,     2.928543067423398e+17
0.020,     2.929532125392241e+17
0.030,     2.931188163216929e+17
0.040,     2.933457088261380e+17
0.050,     2.936348695940055e+17
0.060,     2.939803247318340e+17
0.070,     2.943730581600224e+17
0.080,     2.948144278634801e+17
0.090,     2.952944371066074e+17
0.100,     2.958010648012366e+17
0.110,     2.963360144460435e+17
0.120,     2.968865884646218e+17
0.130,     2.974392742145514e+17
0.140,     2.979958934803100e+17
0.150,     2.985379966855768e+17
0.160,     2.990675158096339e+17
0.170,     2.995716199040860e+17
0.180,     3.000389464688806e+17
0.190,     3.004716951428232e+17
0.200,     3.008597280969145e+17
0.210,     3.011955448414654e+17
0.220,     3.014816360612743e+17
0.230,     3.017119115102444e+17
0.240,     3.018833211363572e+17
0.250,     3.019983158551858e+17
0.260,     3.020552450347025e+17
0.270,     3.020554160053916e+17
0.280,     3.020006359858059e+17
0.290,     3.018931267845057e+17
0.300,     3.017375987896660e+17
0.310,     3.015346964207378e+17
0.320,     3.012895723122507e+17
0.330,     3.010091531836324e+17
0.340,     3.006925121748857e+17
0.350,     3.003464698088288e+17
0.360,     2.999754394594072e+17
0.370,     2.995874960818689e+17
0.380,     2.991797017937569e+17
0.390,     2.987594548165601e+17
0.400,     2.983344233264751e+17
0.410,     2.979002154916364e+17
0.420,     2.974639702149062e+17
0.430,     2.970300347394096e+17
0.440,     2.966006560580409e+17
0.450,     2.961768971302600e+17
0.460,     2.957593793203910e+17
0.470,     2.953507240817445e+17
0.480,     2.949542580628204e+17
0.490,     2.945697376095718e+17
0.500,     2.941968393627731e+17
0.510,     2.938377807074797e+17
0.520,     2.934919108968308e+17
0.530,     2.931595517712743e+17
0.540,     2.928415902709518e+17
0.550,     2.925363344983421e+17
0.560,     2.922436519439114e+17
0.570,     2.919622334336081e+17
0.580,     2.916923445132064e+17
0.590,     2.914326590626628e+17
0.600,     2.911833051838923e+17
0.610,     2.909416214042262e+17
0.620,     2.907078389287263e+17
0.630,     2.904814949419208e+17
0.640,     2.902615679547927e+17
0.650,     2.900465530534092e+17
0.660,     2.898362886983124e+17
0.670,     2.896301730462307e+17
0.680,     2.894271563254962e+17
0.690,     2.892263035653763e+17
0.700,     2.890279129825679e+17
0.710,     2.888312521922350e+17
0.717,     2.886940091135241e+17
0.720,     2.886356995216032e+17
0.730,     2.884401413957008e+17
0.740,     2.882458786039155e+17
0.750,     2.880507659107623e+17
0.760,     2.878556748713179e+17
0.770,     2.876603627930687e+17
0.780,     2.874633519919358e+17
0.790,     2.872663890154495e+17
0.800,     2.870680659036874e+17
0.810,     2.868682608784611e+17
0.820,     2.866669246686627e+17
0.830,     2.864641429424049e+17
0.840,     2.862593766578428e+17
0.850,     2.860527261956093e+17
0.860,     2.858445661037556e+17
0.870,     2.856330214708545e+17
0.880,     2.854201133564541e+17
0.890,     2.852050659886554e+17
0.900,     2.849870834733879e+17
0.910,     2.847671259295193e+17
0.920,     2.845451160525609e+17
0.930,     2.843213459392276e+17
0.940,     2.840953510120576e+17
0.950,     2.838674610457437e+17
0.960,     2.836370787759426e+17
0.970,     2.834060264070450e+17
0.980,     2.831720168977718e+17
0.990,     2.829367132993663e+17
1.000,     2.826995947174286e+17
1.010,     2.824598882934592e+17
1.020,     2.822184487921813e+17
1.030,     2.819761242311121e+17
1.040,     2.817317752323984e+17
1.050,     2.814872462787598e+17
1.060,     2.812410096442568e+17
1.070,     2.809944926680062e+17
