t,BToroidal_v_avg
0.000,     3.999525745822940e+17
0.010,     3.999037077626863e+17
0.020,     3.997605203549683e+17
0.030,     3.995225001474621e+17
0.040,     3.991974602830893e+17
0.050,     3.987840587881033e+17
0.060,     3.982907244431820e+17
0.070,     3.977298057805156e+17
0.080,     3.970985658532223e+17
0.090,     3.964102670295240e+17
0.100,     3.956807549369192e+17
0.110,     3.949056528521295e+17
0.120,     3.941008569694045e+17
0.130,     3.932833410722454e+17
0.140,     3.924470691889276e+17
0.150,     3.916160653392972e+17
0.160,     3.907832858379443e+17
0.170,     3.899642922641867e+17
0.180,     3.891734942194817e+17
0.190,     3.884026587628956e+17
0.200,     3.876648797368342e+17
0.210,     3.869712315092399e+17
0.220,     3.863128156623802e+17
0.230,     3.856993396267700e+17
0.240,     3.851380176657552e+17
0.250,     3.846198567271494e+17
0.260,     3.841508988850294e+17
0.270,     3.837346655036022e+17
0.280,     3.833626593944683e+17
0.290,     3.830375611356543e+17
0.300,     3.827598030825276e+17
0.310,     3.825218690248117e+17
0.320,     3.823237629465126e+17
0.330,     3.821637307228842e+17
0.340,     3.820355356081347e+17
0.350,     3.819373653673539e+17
0.360,     3.818656775623940e+17
0.370,     3.818172622402511e+17
0.380,     3.817877151768600e+17
0.390,     3.817741218263356e+17
0.400,     3.817731007170210e+17
0.410,     3.817814734333642e+17
0.420,     3.817963105631450e+17
0.430,     3.818147679730289e+17
0.440,     3.818343114563507e+17
0.450,     3.818527179445690e+17
0.460,     3.818680048986657e+17
0.470,     3.818783180068326e+17
0.480,     3.818820893034713e+17
0.490,     3.818780925880750e+17
0.500,     3.818652459587617e+17
0.510,     3.818427741166464e+17
0.520,     3.818100434201325e+17
0.530,     3.817666893306068e+17
0.540,     3.817127052603498e+17
0.550,     3.816478506888630e+17
0.560,     3.815723503378609e+17
0.570,     3.814863143701554e+17
0.580,     3.813904797888451e+17
0.590,     3.812851733494490e+17
0.600,     3.811714277793620e+17
0.610,     3.810490835997209e+17
0.620,     3.809193480854689e+17
0.630,     3.807832481362256e+17
0.640,     3.806415442036544e+17
0.650,     3.804946621785791e+17
0.660,     3.803438899071844e+17
0.670,     3.801902097060890e+17
0.680,     3.800342167716573e+17
0.690,     3.798765279584269e+17
0.700,     3.797186871099768e+17
0.710,     3.795613798248474e+17
0.717,     3.794517289409564e+17
0.720,     3.794052856001194e+17
0.730,     3.792506061315158e+17
0.740,     3.790993645283725e+17
0.750,     3.789507966235622e+17
0.760,     3.788064088207542e+17
0.770,     3.786667438285983e+17
0.780,     3.785314367271220e+17
0.790,     3.784022715353964e+17
0.800,     3.782788027574606e+17
0.810,     3.781614240526279e+17
0.820,     3.780505091371556e+17
0.830,     3.779464329175126e+17
0.840,     3.778491902602799e+17
0.850,     3.777590626188939e+17
0.860,     3.776763398999461e+17
0.870,     3.776004275353524e+17
0.880,     3.775321411506352e+17
0.890,     3.774711926459916e+17
0.900,     3.774173791444195e+17
0.910,     3.773709123517196e+17
0.920,     3.773316926493724e+17
0.930,     3.772996699797003e+17
0.940,     3.772746865157719e+17
