t,BTotal_v_avg
0.000,     4.956877946169112e+17
0.010,     4.956678529601428e+17
0.020,     4.956107931466950e+17
0.030,     4.955167692869443e+17
0.040,     4.953890561203680e+17
0.050,     4.952273843841536e+17
0.060,     4.950352839795242e+17
0.070,     4.948176388177652e+17
0.080,     4.945733694574850e+17
0.090,     4.943074998476844e+17
0.100,     4.940258391698552e+17
0.110,     4.937261468380974e+17
0.120,     4.934137532706011e+17
0.130,     4.930942185232530e+17
0.140,     4.927638935610261e+17
0.150,     4.924307847966837e+17
0.160,     4.920903935627754e+17
0.170,     4.917471959918996e+17
0.180,     4.914055126456541e+17
0.190,     4.910599399715645e+17
0.200,     4.907144128965352e+17
0.210,     4.903728074392481e+17
0.220,     4.900293546692863e+17
0.230,     4.896877149127340e+17
0.240,     4.893514406339010e+17
0.250,     4.890147411189536e+17
0.260,     4.886811681272619e+17
0.270,     4.883541417949965e+17
0.280,     4.880279831098501e+17
0.290,     4.877060931078442e+17
0.300,     4.873916758667829e+17
0.310,     4.870792067169614e+17
0.320,     4.867718828540627e+17
0.330,     4.864726379694168e+17
0.340,     4.861760354944178e+17
0.350,     4.858849174288778e+17
0.360,     4.855992792075211e+17
0.370,     4.853216351289436e+17
0.380,     4.850467538415174e+17
0.390,     4.847769508024776e+17
0.400,     4.845143221357848e+17
0.410,     4.842536855302815e+17
0.420,     4.839971449555652e+17
0.430,     4.837451383741837e+17
0.440,     4.834970428810388e+17
0.450,     4.832517486126444e+17
0.460,     4.830080575594810e+17
0.470,     4.827660925197944e+17
0.480,     4.825266257420015e+17
0.490,     4.822885108286260e+17
0.500,     4.820506679481133e+17
0.510,     4.818138079948899e+17
0.520,     4.815770043570218e+17
0.530,     4.813401374404979e+17
0.540,     4.811037165008505e+17
0.550,     4.808664981346797e+17
0.560,     4.806285575541373e+17
0.570,     4.803891690634740e+17
0.580,     4.801490621764520e+17
0.590,     4.799076765075564e+17
0.600,     4.796658990185119e+17
0.610,     4.794219762585604e+17
0.620,     4.791769999475487e+17
0.630,     4.789314989783098e+17
0.640,     4.786854533003129e+17
0.650,     4.784382832751591e+17
0.660,     4.781909122804298e+17
0.670,     4.779437545166631e+17
0.680,     4.776966450784200e+17
0.690,     4.774495063345493e+17
0.700,     4.772037465034976e+17
0.710,     4.769594671290989e+17
0.717,     4.767890995058353e+17
0.720,     4.767168318650093e+17
