t,Ixx,Ixy,Ixz,Iyx,Iyy,Iyz,Izx,Izy,Izz
0.000,    7.267275383921111e+44,    2.819674463173593e+37,   -4.656983826734270e+37,    2.819674463173593e+37,    7.267273784696646e+44,    2.150338456798550e+37,   -4.656983826734270e+37,    2.150338456798550e+37,    7.254136635325002e+44
0.010,    7.257774523082236e+44,    4.660449020492231e+35,   -4.993791935422055e+35,    4.660449020492231e+35,    7.257774706582141e+44,    3.447763821623660e+35,   -4.993791935422055e+35,    3.447763821623660e+35,    7.244402886041041e+44
0.020,    7.257438435185547e+44,    4.080590188699169e+35,   -4.603140305841360e+35,    4.080590188699169e+35,    7.257438619389546e+44,    4.489724416536063e+35,   -4.603140305841360e+35,    4.489724416536063e+35,    7.243812268414765e+44
0.030,    7.257743530328967e+44,    4.997129601744344e+35,   -4.274431575679886e+35,    4.997129601744344e+35,    7.257743716321823e+44,    4.248861217760065e+35,   -4.274431575679886e+35,    4.248861217760065e+35,    7.243691599736298e+44
0.040,    7.258652827623635e+44,    3.909478653621977e+35,   -3.927084162378554e+35,    3.909478653621977e+35,    7.258653013555881e+44,    4.073022441360861e+35,   -3.927084162378554e+35,    4.073022441360861e+35,    7.244045612767197e+44
0.050,    7.260177024414832e+44,    4.256232176000376e+35,   -4.381104252603879e+35,    4.256232176000376e+35,    7.260177210883831e+44,    3.997470304750722e+35,   -4.381104252603879e+35,    3.997470304750722e+35,    7.244882757024496e+44
0.060,    7.262305518802980e+44,    3.791572371021567e+35,   -4.065174363840437e+35,    3.791572371021567e+35,    7.262305705911246e+44,    3.635348394607794e+35,   -4.065174363840437e+35,    3.635348394607794e+35,    7.246201589500767e+44
0.070,    7.265005143035009e+44,    3.792757493650741e+35,   -4.028408121483075e+35,    3.792757493650741e+35,    7.265005330416831e+44,    4.024171575193755e+35,   -4.028408121483075e+35,    4.024171575193755e+35,    7.247981720721740e+44
0.080,    7.268319471580190e+44,    4.033564861146273e+35,   -4.146044421624538e+35,    4.033564861146273e+35,    7.268319659165156e+44,    3.972840662142087e+35,   -4.146044421624538e+35,    3.972840662142087e+35,    7.250253876188901e+44
0.090,    7.272218655136532e+44,    3.879394520931824e+35,   -3.971927409025306e+35,    3.879394520931824e+35,    7.272218842912929e+44,    4.349782529242572e+35,   -3.971927409025306e+35,    4.349782529242572e+35,    7.253000724854147e+44
0.100,    7.276650321724282e+44,    3.644835884062522e+35,   -3.554790311862696e+35,    3.644835884062522e+35,    7.276650509358102e+44,    3.658821412844686e+35,   -3.554790311862696e+35,    3.658821412844686e+35,    7.256186813277806e+44
0.110,    7.281687768104093e+44,    4.204765562327196e+35,   -3.697592254019681e+35,    4.204765562327196e+35,    7.281687956328357e+44,    3.880146495626371e+35,   -3.697592254019681e+35,    3.880146495626371e+35,    7.259867336753038e+44
0.120,    7.287283516918535e+44,    3.388419611677715e+35,   -3.887816655681688e+35,    3.388419611677715e+35,    7.287283706185917e+44,    4.069278395602790e+35,   -3.887816655681688e+35,    4.069278395602790e+35,    7.264011067127647e+44
0.130,    7.293369165214989e+44,    3.750326986727138e+35,   -4.216236891804846e+35,    3.750326986727138e+35,    7.293369354389911e+44,    3.731211131330567e+35,   -4.216236891804846e+35,    3.731211131330567e+35,    7.268569553048304e+44
0.140,    7.300047525843030e+44,    3.605070256255971e+35,   -3.966066254967287e+35,    3.605070256255971e+35,    7.300047713588297e+44,    3.813269738221508e+35,   -3.966066254967287e+35,    3.813269738221508e+35,    7.273622800720221e+44
0.150,    7.307185861226922e+44,    3.406886231789493e+35,   -3.831729550941867e+35,    3.406886231789493e+35,    7.307186050210148e+44,    4.105436380659672e+35,   -3.831729550941867e+35,    4.105436380659672e+35,    7.279073415474996e+44
0.160,    7.314905691064391e+44,    3.913875400464542e+35,   -4.060684892237375e+35,    3.913875400464542e+35,    7.314905880345952e+44,    3.674462534231316e+35,   -4.060684892237375e+35,    3.674462534231316e+35,    7.285017216394443e+44
