   Radius        Density      Pressure     
2.000000e+03  3.162262e+15  4.287199e+36
3.000000e+03  3.162237e+15  4.287100e+36
4.000000e+03  3.162204e+15  4.286963e+36
5.000000e+03  3.162161e+15  4.286788e+36
6.000000e+03  3.162108e+15  4.286575e+36
7.000000e+03  3.162046e+15  4.286323e+36
8.000000e+03  3.161975e+15  4.286032e+36
9.000000e+03  3.161894e+15  4.285702e+36
1.000000e+04  3.161803e+15  4.285334e+36
1.100000e+04  3.161703e+15  4.284928e+36
1.200000e+04  3.161593e+15  4.284482e+36
1.300000e+04  3.161474e+15  4.283998e+36
1.400000e+04  3.161346e+15  4.283475e+36
1.500000e+04  3.161208e+15  4.282914e+36
1.600000e+04  3.161060e+15  4.282314e+36
1.700000e+04  3.160903e+15  4.281676e+36
1.800000e+04  3.160736e+15  4.280999e+36
1.900000e+04  3.160560e+15  4.280283e+36
2.000000e+04  3.160375e+15  4.279529e+36
2.100000e+04  3.160179e+15  4.278736e+36
2.200000e+04  3.159975e+15  4.277905e+36
2.300000e+04  3.159761e+15  4.277036e+36
2.400000e+04  3.159537e+15  4.276128e+36
2.500000e+04  3.159304e+15  4.275181e+36
2.600000e+04  3.159061e+15  4.274196e+36
2.700000e+04  3.158809e+15  4.273173e+36
2.800000e+04  3.158548e+15  4.272112e+36
2.900000e+04  3.158277e+15  4.271012e+36
3.000000e+04  3.157996e+15  4.269874e+36
3.100000e+04  3.157706e+15  4.268698e+36
3.200000e+04  3.157407e+15  4.267484e+36
3.300000e+04  3.157098e+15  4.266231e+36
3.400000e+04  3.156779e+15  4.264941e+36
3.500000e+04  3.156452e+15  4.263612e+36
3.600000e+04  3.156114e+15  4.262246e+36
3.700000e+04  3.155768e+15  4.260841e+36
3.800000e+04  3.155411e+15  4.259399e+36
3.900000e+04  3.155046e+15  4.257918e+36
4.000000e+04  3.154671e+15  4.256400e+36
4.100000e+04  3.154286e+15  4.254844e+36
4.200000e+04  3.153893e+15  4.253250e+36
4.300000e+04  3.153489e+15  4.251619e+36
4.400000e+04  3.153077e+15  4.249950e+36
4.500000e+04  3.152654e+15  4.248243e+36
4.600000e+04  3.152223e+15  4.246499e+36
4.700000e+04  3.151782e+15  4.244717e+36
4.800000e+04  3.151332e+15  4.242898e+36
4.900000e+04  3.150872e+15  4.241042e+36
5.000000e+04  3.150403e+15  4.239148e+36
5.100000e+04  3.149925e+15  4.237217e+36
5.200000e+04  3.149437e+15  4.235249e+36
5.300000e+04  3.148940e+15  4.233244e+36
5.400000e+04  3.148433e+15  4.231201e+36
5.500000e+04  3.147917e+15  4.229122e+36
5.600000e+04  3.147392e+15  4.227005e+36
5.700000e+04  3.146857e+15  4.224852e+36
5.800000e+04  3.146314e+15  4.222662e+36
5.900000e+04  3.145760e+15  4.220435e+36
6.000000e+04  3.145198e+15  4.218172e+36
6.100000e+04  3.144626e+15  4.215872e+36
6.200000e+04  3.144045e+15  4.213535e+36
6.300000e+04  3.143455e+15  4.211162e+36
6.400000e+04  3.142855e+15  4.208752e+36
6.500000e+04  3.142246e+15  4.206306e+36
6.600000e+04  3.141628e+15  4.203824e+36
6.700000e+04  3.141001e+15  4.201306e+36
6.800000e+04  3.140364e+15  4.198752e+36
6.900000e+04  3.139718e+15  4.196161e+36
7.000000e+04  3.139063e+15  4.193535e+36
7.100000e+04  3.138398e+15  4.190873e+36
7.200000e+04  3.137725e+15  4.188175e+36
7.300000e+04  3.137042e+15  4.185441e+36
7.400000e+04  3.136350e+15  4.182672e+36
7.500000e+04  3.135649e+15  4.179867e+36
7.600000e+04  3.134938e+15  4.177027e+36
7.700000e+04  3.134219e+15  4.174151e+36
7.800000e+04  3.133490e+15  4.171240e+36
7.900000e+04  3.132752e+15  4.168294e+36
8.000000e+04  3.132005e+15  4.165313e+36
8.100000e+04  3.131249e+15  4.162297e+36
8.200000e+04  3.130484e+15  4.159246e+36
8.300000e+04  3.129709e+15  4.156160e+36
8.400000e+04  3.128926e+15  4.153039e+36
8.500000e+04  3.128133e+15  4.149884e+36
8.600000e+04  3.127331e+15  4.146694e+36
8.700000e+04  3.126521e+15  4.143470e+36
8.800000e+04  3.125701e+15  4.140211e+36
8.900000e+04  3.124872e+15  4.136918e+36
9.000000e+04  3.124034e+15  4.133591e+36
9.100000e+04  3.123187e+15  4.130230e+36
